workload,config,rtt_ms,phase,bytes_fetched,requests,byte_amp,req_amp,min_total_bytes,min_requests,min_requests_naive,n_files,min_block_bytes,header_bytes,n_blocks,mean_range_bytes,connections,wall_s,peak_rss_mb,reads_executed,reads_total,truncated,gdal,curl,run_file
W3,DEFAULT,150.0,cold,424579658,849,1.2655814762265971,3.10989010989011,335481884,273,894,23,335347704,134180,871,513892.33898305084,2,122.5643,676.9,7824,7824,False,3.13.3,8.18.0,W3.DEFAULT.rtt150.json
W3,DEFAULT,150.0,warm,408283525,779,1.2170061767031213,2.8534798534798536,335481884,273,894,23,335347704,134180,871,524112.35558408214,2,111.2377,688.9,7824,7824,False,3.13.3,8.18.0,W3.DEFAULT.rtt150.json
W3,DEFAULT,5.0,cold,424579658,849,1.2655814762265971,3.10989010989011,335481884,273,894,23,335347704,134180,871,513892.33898305084,2,9.9121,673.3,7824,7824,False,3.13.3,8.18.0,W3.DEFAULT.rtt5.json
W3,DEFAULT,5.0,warm,408283525,779,1.2170061767031213,2.8534798534798536,335481884,273,894,23,335347704,134180,871,524112.35558408214,2,9.2116,694.0,7824,7824,False,3.13.3,8.18.0,W3.DEFAULT.rtt5.json
W3,DEFAULT,50.0,cold,424579658,849,1.2655814762265971,3.10989010989011,335481884,273,894,23,335347704,134180,871,513892.33898305084,2,47.9244,685.8,7824,7824,False,3.13.3,8.18.0,W3.DEFAULT.rtt50.json
W3,DEFAULT,50.0,warm,408283525,779,1.2170061767031213,2.8534798534798536,335481884,273,894,23,335347704,134180,871,524112.35558408214,2,43.0896,690.3,7824,7824,False,3.13.3,8.18.0,W3.DEFAULT.rtt50.json
W3,TUNED_chunk16k,150.0,cold,350820621,749,1.045721506082874,2.7435897435897436,335481884,273,894,23,335347704,134180,871,468385.34178905206,2,108.1448,1473.9,7824,7824,False,3.13.3,8.18.0,W3.TUNED_chunk16k.rtt150.json
W3,TUNED_chunk16k,150.0,warm,0,0,0.0,0.0,335481884,273,894,23,335347704,134180,871,0,0,0.5852,1474.0,7824,7824,False,3.13.3,8.18.0,W3.TUNED_chunk16k.rtt150.json
W3,TUNED_chunk16k,5.0,cold,350820621,749,1.045721506082874,2.7435897435897436,335481884,273,894,23,335347704,134180,871,468385.34178905206,2,8.2035,1480.2,7824,7824,False,3.13.3,8.18.0,W3.TUNED_chunk16k.rtt5.json
W3,TUNED_chunk16k,5.0,warm,0,0,0.0,0.0,335481884,273,894,23,335347704,134180,871,0,0,0.1785,1480.3,7824,7824,False,3.13.3,8.18.0,W3.TUNED_chunk16k.rtt5.json
W3,TUNED_chunk16k,50.0,cold,350820621,749,1.045721506082874,2.7435897435897436,335481884,273,894,23,335347704,134180,871,468385.34178905206,2,43.947,1471.6,7824,7824,False,3.13.3,8.18.0,W3.TUNED_chunk16k.rtt50.json
W3,TUNED_chunk16k,50.0,warm,0,0,0.0,0.0,335481884,273,894,23,335347704,134180,871,0,0,0.4866,1471.7,7824,7824,False,3.13.3,8.18.0,W3.TUNED_chunk16k.rtt50.json
W3,TUNED_chunk1m,50.0,cold,809164488,613,2.4119468936808524,2.2454212454212454,335481884,273,894,23,335347704,134180,871,1320007.32137031,2,36.7688,1485.3,7824,7824,False,3.13.3,8.18.0,W3.TUNED_chunk1m.rtt50.json
W3,TUNED_chunk1m,50.0,warm,0,0,0.0,0.0,335481884,273,894,23,335347704,134180,871,0,0,0.6246,1485.4,7824,7824,False,3.13.3,8.18.0,W3.TUNED_chunk1m.rtt50.json
W3,TUNED_chunk256k,50.0,cold,457426915,647,1.3634921491021554,2.36996336996337,335481884,273,894,23,335347704,134180,871,706996.7774343122,2,39.9171,1470.0,7824,7824,False,3.13.3,8.18.0,W3.TUNED_chunk256k.rtt50.json
W3,TUNED_chunk256k,50.0,warm,0,0,0.0,0.0,335481884,273,894,23,335347704,134180,871,0,0,0.9899,1470.3,7824,7824,False,3.13.3,8.18.0,W3.TUNED_chunk256k.rtt50.json
W4,DEFAULT,150.0,cold,344787386,549,1.0480858783378257,1.5421348314606742,328968640,356,576,12,328925896,42744,564,642027.024208566,1,94.3182,687.3,1402,1402,False,3.13.3,8.18.0,W4.DEFAULT.rtt150.json
W4,DEFAULT,150.0,warm,237944832,441,0.7233055162948054,1.2387640449438202,328968640,356,576,12,328925896,42744,564,539557.4421768708,1,74.953,697.6,1402,1402,False,3.13.3,8.18.0,W4.DEFAULT.rtt150.json
W4,DEFAULT,5.0,cold,344787386,549,1.0480858783378257,1.5421348314606742,328968640,356,576,12,328925896,42744,564,642027.024208566,1,9.7016,688.2,1402,1402,False,3.13.3,8.18.0,W4.DEFAULT.rtt5.json
W4,DEFAULT,5.0,warm,237944832,441,0.7233055162948054,1.2387640449438202,328968640,356,576,12,328925896,42744,564,539557.4421768708,1,5.3147,697.6,1402,1402,False,3.13.3,8.18.0,W4.DEFAULT.rtt5.json
W4,DEFAULT,50.0,cold,344787386,549,1.0480858783378257,1.5421348314606742,328968640,356,576,12,328925896,42744,564,642027.024208566,1,37.0671,693.5,1402,1402,False,3.13.3,8.18.0,W4.DEFAULT.rtt50.json
W4,DEFAULT,50.0,warm,237944832,441,0.7233055162948054,1.2387640449438202,328968640,356,576,12,328925896,42744,564,539557.4421768708,1,29.6523,698.6,1402,1402,False,3.13.3,8.18.0,W4.DEFAULT.rtt50.json
W4,TUNED_chunk16k,150.0,cold,344768512,549,1.0480285050879015,1.5421348314606742,328968640,356,576,12,328925896,42744,564,627993.6466302368,1,93.3468,693.3,1402,1402,False,3.13.3,8.18.0,W4.TUNED_chunk16k.rtt150.json
W4,TUNED_chunk16k,150.0,warm,0,0,0.0,0.0,328968640,356,576,12,328925896,42744,564,0,0,0.3774,693.6,1402,1402,False,3.13.3,8.18.0,W4.TUNED_chunk16k.rtt150.json
W4,TUNED_chunk16k,5.0,cold,344768512,549,1.0480285050879015,1.5421348314606742,328968640,356,576,12,328925896,42744,564,627993.6466302368,1,6.8438,694.3,1402,1402,False,3.13.3,8.18.0,W4.TUNED_chunk16k.rtt5.json
W4,TUNED_chunk16k,5.0,warm,0,0,0.0,0.0,328968640,356,576,12,328925896,42744,564,0,0,0.1109,694.4,1402,1402,False,3.13.3,8.18.0,W4.TUNED_chunk16k.rtt5.json
W4,TUNED_chunk16k,50.0,cold,344768512,549,1.0480285050879015,1.5421348314606742,328968640,356,576,12,328925896,42744,564,627993.6466302368,1,38.3854,694.9,1402,1402,False,3.13.3,8.18.0,W4.TUNED_chunk16k.rtt50.json
W4,TUNED_chunk16k,50.0,warm,0,0,0.0,0.0,328968640,356,576,12,328925896,42744,564,0,0,0.2647,695.1,1402,1402,False,3.13.3,8.18.0,W4.TUNED_chunk16k.rtt50.json
W4,TUNED_chunk1m,50.0,cold,643825664,356,1.9571034612904137,1.0,328968640,356,576,12,328925896,42744,564,1808499.0561797754,1,26.002,697.8,1402,1402,False,3.13.3,8.18.0,W4.TUNED_chunk1m.rtt50.json
W4,TUNED_chunk1m,50.0,warm,0,0,0.0,0.0,328968640,356,576,12,328925896,42744,564,0,0,0.2808,698.2,1402,1402,False,3.13.3,8.18.0,W4.TUNED_chunk1m.rtt50.json
W4,TUNED_chunk256k,50.0,cold,423624704,499,1.2877358279500442,1.401685393258427,328968640,356,576,12,328925896,42744,564,848947.3026052105,1,34.0738,690.8,1402,1402,False,3.13.3,8.18.0,W4.TUNED_chunk256k.rtt50.json
W4,TUNED_chunk256k,50.0,warm,0,0,0.0,0.0,328968640,356,576,12,328925896,42744,564,0,0,0.1965,691.0,1402,1402,False,3.13.3,8.18.0,W4.TUNED_chunk256k.rtt50.json
W5,DEFAULT,150.0,cold,109822950,216,1.009687035030786,4.32,108769298,50,515,9,108679058,90240,506,530375.1594202898,9,18.7436,673.4,86,86,False,3.13.3,8.18.0,W5.DEFAULT.rtt150.json
W5,DEFAULT,150.0,warm,108564274,188,0.9981150563277517,3.76,108769298,50,515,9,108679058,90240,506,577469.5425531915,9,15.7292,683.9,86,86,False,3.13.3,8.18.0,W5.DEFAULT.rtt150.json
